name,birth_date,space_flight,space_walks,mission,company_name,location,datum,status_mission
Jack R. Lousma,1936-02-29,1619,11.0,STS-3,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1982-03-22 11:00:00-05,Success
C. Gordon Fullerton,1936-10-11,382,0.0,STS-3,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1982-03-22 11:00:00-05,Success
Richard H. Truly,1937-11-12,199,0.0,STS-2,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1981-11-12 10:09:00-05,Success
Joe H. Engle,1932-08-26,224,0.0,STS-2,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1981-11-12 10:09:00-05,Success
John W. Young,1930-09-24,835,20.0,STS-1,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1981-04-12 07:00:00-05,Success
Robert L. Crippen,1937-09-11,565,0.0,STS-1,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1981-04-12 07:00:00-05,Success
Eugene A. Cernan,1934-03-14,566,24.0,Apollo17,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1972-12-19 14:24:00-05,Success
Eugene A. Cernan,1934-03-14,566,24.0,Apollo17,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1972-12-19 14:24:00-05,Success
Harrison H. Schmitt,1935-07-03,301,22.0,Apollo17,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1972-12-19 14:24:00-05,Success
Ronald E. Evans Jr. ,1933-11-10,301,1.0,Apollo17,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1972-12-19 14:24:00-05,Success
John W. Young,1930-09-24,835,20.0,Apollo16,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1972-04-16 12:54:00-05,Success
Thomas K. Mattingly II ,1936-03-17,508,1.0,Apollo16,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1972-04-16 12:54:00-05,Success
Charles M. Duke Jr. ,1935-10-03,265,20.0,Apollo16,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1972-04-16 12:54:00-05,Success
David R. Scott,1932-06-06,546,19.0,Apollo15,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1971-07-26 09:34:00-04,Success
David R. Scott,1932-06-06,546,19.0,Apollo15,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1971-07-26 09:34:00-04,Success
Alfred M. Worden,1932-02-07,295,0.5,Apollo15,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1971-07-26 09:34:00-04,Success
James B. Irwin,1930-03-17,295,20.0,Apollo15,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1971-07-26 09:34:00-04,Success
Alan B. Shepard Jr. ,1923-11-18,216,9.0,Apollo14,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1971-01-31 16:03:00-05,Success
Stuart A. Roosa,1933-08-16,216,0.0,Apollo14,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1971-01-31 16:03:00-05,Success
Edgar D. Mitchell,1930-09-17,216,9.0,Apollo14,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1971-01-31 16:03:00-05,Success
James A. Lovell Jr. ,1928-03-25,715,0.0,Apollo13,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1970-04-11 14:13:00-05,Success
John L. Swigert Jr. ,1931-08-30,142,0.0,Apollo13,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1970-04-11 14:13:00-05,Success
Fred W. Haise Jr. ,1933-11-14,142,0.0,Apollo13,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1970-04-11 14:13:00-05,Success
Charles Conrad Jr. ,1930-05-02,1179,12.0,Apollo12,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1969-11-14 11:22:00-05,Success
Charles Conrad Jr. ,1930-05-02,1179,12.0,Apollo12,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1969-11-14 11:22:00-05,Success
Richard F. Gordon Jr. ,1929-10-05,315,0.5,Apollo12,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1969-11-14 11:22:00-05,Success
Alan L. Bean,1932-03-15,1671,10.0,Apollo12,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1969-11-14 11:22:00-05,Success
